vector_type,rule_id,rule_type,features,direction,location_constraint,weight,notes
Lentivirus,LV-01,boundary,5' LTR | 5' LTR (truncated) | HIV-1 5' LTR,forward,flanks_5prime,0.95,Payload begins at the 5' LTR; in 3rd-gen SIN vectors this is a chimeric/truncated LTR where U3 is replaced by a heterologous promoter (RSV or CMV).
Lentivirus,LV-02,boundary,3' LTR | 3' LTR (ΔU3),forward,flanks_3prime,0.95,Payload ends at the 3' LTR. A ΔU3 deletion (self-inactivating) is a near-definitive marker of modern lentiviral transfer plasmids vs. retroviral.
Lentivirus,LV-03,presence,HIV-1 Ψ | HIV-1 psi pack | psi plus pack,forward,downstream_of:5' LTR; within:400_bp_of:5' LTR,0.9,HIV-1 packaging signal; essentially pathognomonic for HIV-1-derived lentivirus when combined with LTRs.
Lentivirus,LV-04,presence,RRE,forward,between:5' LTR..3' LTR,0.8,Rev Response Element; required for nuclear export of unspliced genomic RNA. Strong lentiviral marker.
Lentivirus,LV-05,presence,cPPT/CTS | cPPT,forward,between:RRE..3' LTR,0.7,Central polypurine tract; improves transduction efficiency. Common in 2nd/3rd-gen lentiviral vectors.
Lentivirus,LV-06,presence,WPRE,forward,upstream_of:3' LTR; within:600_bp_of:3' LTR,0.55,Woodchuck post-transcriptional regulatory element. Boosts transgene expression. Also used in some AAV/retro vectors — not lenti-exclusive.
Lentivirus,LV-07,presence,gag (truncated) | HIV-1 gag | gag,forward,downstream_of:HIV-1 Ψ,0.75,Truncated gag retained because packaging signal extends into the gag ORF; non-functional but structurally important.
Lentivirus,LV-08,order,5' LTR -> HIV-1 Ψ -> RRE -> cPPT/CTS -> [transgene cassette] -> WPRE -> 3' LTR,forward,flanks,0.95,Canonical element order. Matching the full order is essentially diagnostic.
Lentivirus,LV-09,presence_all,HIV-1 Ψ + RRE + WPRE,forward,between:LTRs,0.97,Co-occurrence of these three cis elements between LTRs is nearly exclusive to HIV-1 lentiviral transfer plasmids.
Lentivirus,LV-10,exclusion,AAV2 ITR | ITR,n/a,n/a,-0.8,Presence of ITRs argues strongly against lentivirus.
AAV,AAV-01,boundary,AAV2 ITR | ITR,either,flanks,0.98,Inverted terminal repeats flank the rAAV cassette. ~145 bp each. Two ITRs in inverted orientation are the defining feature.
AAV,AAV-02,presence_all,AAV2 ITR (5') + AAV2 ITR (3'),inverted,flanks; distance:<4700_bp,0.99,Two ITRs in inverted orientation separated by ≤~4.7 kb (AAV packaging limit) is pathognomonic for rAAV transfer plasmid.
AAV,AAV-03,presence,WPRE,forward,between:ITRs; upstream_of:poly(A) signal,0.35,WPRE is common in rAAV expression cassettes but also in lenti/retro — weak alone.
AAV,AAV-04,presence,bGH poly(A) signal | SV40 poly(A) signal | hGH poly(A) signal,forward,between:ITRs; upstream_of:ITR (3'),0.3,Short polyA signals are preferred in rAAV due to the 4.7 kb packaging limit. Weak on its own.
AAV,AAV-05,exclusion,Rep | Cap | AAV2 Rep | AAV2 Cap,either,outside:ITRs,0.0,"Rep/Cap present OUTSIDE ITRs indicates a helper/packaging plasmid, not the transfer vector payload. Reclassify as AAV helper plasmid."
AAV,AAV-06,exclusion,5' LTR | 3' LTR | HIV-1 Ψ,n/a,n/a,-0.9,LTR/psi presence excludes AAV.
Gamma-retrovirus,RV-01,boundary,5MoMuLV LTR | 3MoMuLV LTR | 5' LTR | 3' LTR,forward,flanks,0.9,MLV LTRs (~600 bp) flank the provirus; distinct from HIV LTRs in sequence.
Gamma-retrovirus,RV-02,presence,MMLV Ψ | MESV Ψ,forward,downstream_of:5' LTR,0.95,MMLV/MESV packaging signal — specific to gamma-retrovirus; not interchangeable with HIV-1 Ψ.
Gamma-retrovirus,RV-03,exclusion,HIV-1 Ψ | RRE | cPPT/CTS,n/a,n/a,-0.9,These are lentivirus-specific; their presence rules out gamma-retrovirus.
Gamma-retrovirus,RV-04,presence_all,MLV LTR (5') + MMLV Ψ + MLV LTR (3'),forward,flanks,0.97,MLV LTRs + MMLV Ψ co-occurrence is diagnostic. MSCV and MESV vectors follow the same pattern.
Adenovirus,AD-01,boundary,ITR | Ad5 ITR,either,flanks,0.9,Adenoviral ITRs (~100 bp) flank the genome. Distinguished from AAV ITRs by sequence — both may be annotated simply as 'ITR'.
Adenovirus,AD-02,presence,Ad5 Ψ,forward,downstream_of:5' ITR; within:400_bp_of:5' ITR,0.95,Adenovirus packaging signal — diagnostic when present.
Adenovirus,AD-03,presence,E1B | E4orf6,either,n/a,0.5,"Adenoviral early genes; often deleted (ΔE1/ΔE3) in gene therapy vectors, so absence does not exclude."
Adenovirus,AD-04,presence,Ad SA,forward,n/a,0.6,Adenoviral splice acceptor; supporting evidence.
Adenovirus,AD-05,exclusion,HIV-1 Ψ | MMLV Ψ | AAV2 ITR,n/a,n/a,-0.9,Other viral packaging elements exclude adenovirus.
HSV,HSV-01,presence,HSV TK promoter | HSV TK | HSV TK poly(A) signal,either,n/a,0.4,HSV TK elements are frequently used as markers in non-HSV vectors too (e.g. for selection). Weak as a standalone HSV indicator.
HSV,HSV-02,presence,ΔTK | Mini-TK promoter,forward,n/a,0.6,Engineered TK deletions/mini variants are more specific to HSV amplicon/oncolytic vectors.
