module_type,rule_id,rule_type,features,direction,location_constraint,weight,notes
E. coli replication (high-copy),BR-HC-01,boundary_5,pUC ori | ori | ColE1 ori | pMB1 ori,either,standalone_module,0.95,pUC19-derived ori (mutated pMB1) gives ~500-700 copies/cell due to loss of rop regulation. Often annotated just as 'ori'. Module is typically 600-1000 bp.
E. coli replication (high-copy),BR-HC-02,exclusion,rop,either,within:1500_bp_of:ori,-0.8,"Presence of rop/rom protein argues for low-copy pBR322-style ori, not high-copy pUC."
E. coli replication (high-copy),BR-HC-03,presence,RNA I | RNA II,either,within:ori,0.4,ColE1-family replication is regulated by antisense RNA I/RNA II. Rarely annotated but diagnostic when present.
E. coli replication (low-copy),BR-LC-01,boundary_5,pSC101 ori,forward,standalone_module,0.97,pSC101 ori — strict low-copy (~5 copies). Incompatibility group IncW-like. ~1.5 kb module including repA.
E. coli replication (low-copy),BR-LC-02,boundary_5_alt,p15A ori,forward,standalone_module,0.95,p15A ori (from pACYC184) — ~10-12 copies. Compatible with pUC/ColE1 oris for co-transformation.
E. coli replication (low-copy),BR-LC-03,boundary_5_alt,CloDF13 ori,forward,standalone_module,0.92,CloDF13 — ~20-40 copies. Compatible with ColE1 and p15A; used in triple-plasmid systems.
E. coli replication (low-copy),BR-LC-04,boundary_5_alt,ColA ori | RSF ori,forward,standalone_module,0.9,ColA and RSF are additional E. coli origins in orthogonal compatibility groups (Duet vector family).
E. coli replication (low-copy),BR-LC-05,presence,Rep101 | Rep101(Ts),forward,within:2000_bp_of:ori,0.8,pSC101 RepA (or its temperature-sensitive variant) is the trans-acting factor required for pSC101 replication.
E. coli replication (low-copy),BR-LC-06,presence,rop,forward,within:1500_bp_of:ori,0.5,rop/rom protein reduces ColE1-family copy number; presence indicates low-copy variant.
E. coli replication (conditional / R6K),BR-COND-01,boundary_5,R6K γ ori,forward,standalone_module,0.98,"R6Kγ ori requires the π protein (pir gene) in trans — plasmid only replicates in pir+ host strains (e.g. BW25141, EC100D pir+). Used for suicide vectors and conditional propagation."
E. coli replication (conditional / R6K),BR-COND-02,presence,pir,forward,n/a,0.9,If pir is on the same plasmid it is self-sufficient; more commonly pir is host-encoded.
Broad-host-range replication,BHR-01,boundary_5,pBBR1 oriV + pBBR1 Rep,forward,adjacent; standalone_module,0.98,"pBBR1 replicon — replicates in many Gram-negative bacteria (Rhizobium, Agrobacterium, Brucella, Bordetella). Small (~2 kb), mobilizable."
Broad-host-range replication,BHR-02,boundary_5_alt,RSF1010 oriV + RSF1010 RepA + RSF1010 RepB + RSF1010 RepC,forward,adjacent; standalone_module,0.98,"RSF1010 IncQ replicon — the broadest host range known, replicates in virtually all Gram-negatives and some Gram-positives."
Broad-host-range replication,BHR-03,boundary_5_alt,pVS1 oriV + pVS1 RepA,forward,adjacent; standalone_module,0.98,"pVS1 replicon from Pseudomonas — the standard Agrobacterium ori in binary vectors (pBIN, pCAMBIA series). Stable in Agrobacterium but not E. coli."
Broad-host-range replication,BHR-04,boundary_5_alt,pRO1600 oriV + pRO1600 Rep,forward,adjacent; standalone_module,0.95,pRO1600 replicon — Pseudomonas aeruginosa origin used in shuttle vectors.
Broad-host-range replication,BHR-05,boundary_5_alt,pSa ori,forward,standalone_module,0.9,"pSa ori — broad host range, IncW incompatibility group."
Broad-host-range replication,BHR-06,boundary_5_alt,trfA + oriV,forward,adjacent; standalone_module,0.95,RK2/RP4 replicon — IncP broad-host-range. trfA protein is essential in trans for oriV function. Used for bacterial conjugation and broad host expression.
Broad-host-range replication,BHR-07,presence,pRi replicator region,forward,standalone_module,0.95,Agrobacterium rhizogenes Ri plasmid replicator; alternative to pVS1 in some plant binary vectors.
BAC/F replication,BAC-R-01,boundary_5,repE + sopA + sopB + sopC,forward,adjacent; standalone_module,0.98,"Mini-F replicon: repE initiates replication, sopABC is the partition system that ensures single-copy stability. ~5-6 kb module."
BAC/F replication,BAC-R-02,presence,ori2,forward,within:1000_bp_of:repE,0.8,"ori2 is the actual origin of mini-F replication, bound by RepE. Supporting evidence."
BAC/F replication,BAC-R-03,presence,incC,forward,within:ori2 region,0.6,incC incompatibility determinant — part of the F replicon regulatory region.
