module_type,rule_id,rule_type,features,direction,location_constraint,weight,notes
Mammalian Pol II expression,MPII-B5a,boundary_5,CMV promoter | CMV IE94 promoter | minimal CMV promoter | mCMV promoter | CMVd1 promoter | CMVd2 promoter | CMVd3 promoter,forward,upstream_of:CDS,0.9,CMV-family promoter alone is the simplest 5' boundary of a mammalian Pol II cassette.
Mammalian Pol II expression,MPII-B5b,boundary_5_alt,CMV enhancer + chicken β-actin promoter + (chimeric intron | hybrid intron | β-globin intron),forward,order; adjacent; upstream_of:CDS,0.97,"CAG cassette: CMV enhancer → chicken β-actin promoter → rabbit β-globin intron. Extremely strong, widely used in AAV and transgenics. All three elements in this order make the call near-certain."
Mammalian Pol II expression,MPII-B5c,boundary_5_alt,EF-1α promoter | EF-1α core promoter | mEF-1α promoter,forward,upstream_of:CDS,0.9,EF-1α promoter; the full-length version typically brings EF-1α intron A which further supports the call.
Mammalian Pol II expression,MPII-B5d,boundary_5_alt,EF-1α promoter + EF-1α intron A,forward,order; upstream_of:CDS,0.97,Full EF-1α promoter with its natural first intron. Stronger than the core promoter alone and resistant to silencing.
Mammalian Pol II expression,MPII-B5e,boundary_5_alt,PGK promoter | hPGK promoter,forward,upstream_of:CDS,0.88,"Human/mouse PGK promoter; moderate-strength ubiquitous mammalian promoter, common in lenti."
Mammalian Pol II expression,MPII-B5f,boundary_5_alt,UbC promoter,forward,upstream_of:CDS,0.88,"Human ubiquitin C promoter; ubiquitous expression, resistant to silencing."
Mammalian Pol II expression,MPII-B5g,boundary_5_alt,SV40 promoter,forward,upstream_of:CDS,0.85,SV40 early promoter; often used for selection markers rather than payload.
Mammalian Pol II expression,MPII-B5h,boundary_5_alt,SFFV promoter | MSCV promoter | RSV promoter,forward,upstream_of:CDS,0.85,Retroviral LTR-derived promoters; common in lenti/retro for strong hematopoietic expression.
Mammalian Pol II expression,MPII-B5i,boundary_5_alt,HSV TK promoter | Mini-TK promoter,forward,upstream_of:CDS,0.8,"HSV TK promoter; weak constitutive, often paired with selectable markers."
Mammalian Pol II expression,MPII-B5j,boundary_5_alt,hSyn promoter | CaMKII promoter,forward,upstream_of:CDS,0.9,Neuron-specific promoters; the neuronal tropism is diagnostic in AAV neuroscience contexts.
